,Driver,Position,Stint,Compound,LapNumber,LapTime,TyreLife,LapTimeSeconds,FullName,Color,CumulativeLapTime,SmallestCumulativeLapTime,IntervalToLeader,NormalizedIntervalToLeader
0,VER,1.0,1.0,MEDIUM,1.0,0 days 00:01:27.912000,4.0,87.912,max verstappen,#0600ef,87.912,87.912,0.0,1.0
1,VER,1.0,1.0,MEDIUM,2.0,0 days 00:01:25.157000,5.0,85.157,max verstappen,#0600ef,173.06900000000002,173.06900000000002,0.0,1.0
2,VER,1.0,1.0,MEDIUM,3.0,0 days 00:01:25.070000,6.0,85.07,max verstappen,#0600ef,258.139,258.139,0.0,1.0
3,VER,1.0,1.0,MEDIUM,4.0,0 days 00:01:24.542000,7.0,84.542,max verstappen,#0600ef,342.681,342.681,0.0,1.0
4,VER,1.0,1.0,MEDIUM,5.0,0 days 00:01:24.843000,8.0,84.843,max verstappen,#0600ef,427.524,427.524,0.0,1.0
5,VER,1.0,1.0,MEDIUM,6.0,0 days 00:01:24.596000,9.0,84.596,max verstappen,#0600ef,512.12,512.12,0.0,1.0
6,VER,1.0,1.0,MEDIUM,7.0,0 days 00:01:24.487000,10.0,84.487,max verstappen,#0600ef,596.607,596.607,0.0,1.0
7,VER,1.0,1.0,MEDIUM,8.0,0 days 00:01:24.509000,11.0,84.509,max verstappen,#0600ef,681.116,681.116,0.0,1.0
8,VER,1.0,1.0,MEDIUM,9.0,0 days 00:01:24.437000,12.0,84.437,max verstappen,#0600ef,765.553,765.553,0.0,1.0
9,VER,1.0,1.0,MEDIUM,10.0,0 days 00:01:24.405000,13.0,84.405,max verstappen,#0600ef,849.958,849.958,0.0,1.0
10,VER,1.0,1.0,MEDIUM,11.0,0 days 00:01:24.462000,14.0,84.462,max verstappen,#0600ef,934.42,934.42,0.0,1.0
11,VER,1.0,1.0,MEDIUM,12.0,0 days 00:01:24.306000,15.0,84.306,max verstappen,#0600ef,1018.726,1018.726,0.0,1.0
12,VER,1.0,1.0,MEDIUM,13.0,0 days 00:01:24.355000,16.0,84.355,max verstappen,#0600ef,1103.081,1103.081,0.0,1.0
13,VER,1.0,1.0,MEDIUM,14.0,0 days 00:01:24.201000,17.0,84.201,max verstappen,#0600ef,1187.282,1187.282,0.0,1.0
14,VER,1.0,1.0,MEDIUM,15.0,0 days 00:01:24.121000,18.0,84.121,max verstappen,#0600ef,1271.403,1271.403,0.0,1.0
15,VER,1.0,1.0,MEDIUM,16.0,0 days 00:01:24.373000,19.0,84.373,max verstappen,#0600ef,1355.776,1355.776,0.0,1.0
16,VER,1.0,1.0,MEDIUM,17.0,0 days 00:01:24.214000,20.0,84.214,max verstappen,#0600ef,1439.99,1439.99,0.0,1.0
17,VER,1.0,1.0,MEDIUM,18.0,0 days 00:01:24.195000,21.0,84.195,max verstappen,#0600ef,1524.185,1524.185,0.0,1.0
18,VER,1.0,1.0,MEDIUM,19.0,0 days 00:01:24.396000,22.0,84.396,max verstappen,#0600ef,1608.581,1608.581,0.0,1.0
19,VER,1.0,1.0,MEDIUM,20.0,0 days 00:01:24.065000,23.0,84.065,max verstappen,#0600ef,1692.646,1692.646,0.0,1.0
